Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
429	23R220347	224 Crowsnest Dr.	63021	0.83	10/3/2022	$443,000	$224.87	X	0.4594	1 / 1	Masonry and Frame	Ranch	1974	1,970	Full	4 / 8	3 / 0
430	23S210707	705 Fox Briar Ln.	63021	0.77	10/3/2022	$446,000	$259.00	X	0.2900	1 / 1	Masonry and Frame	Ranch	1984	1,722	Full	3 / 7	3 / 0
431	23S210927	290 Windy Acres Estates Dr.	63021	0.92	11/16/2022	$450,000	$175.50	X	0.1726	1 / 2	Aluminum / Vinyl	Conventional	2000	2,564	Full	4 / 9	2 / 1
432	24S340845	408 Mark Wesley Ln.	63021	0.49	6/4/2021	$455,000	$184.43	X	0.2334	1 / 2	Masonry and Frame	Conventional	1993	2,467	Full	4 / 10	2 / 2
433	24R411003	261 Magnolia Trace Dr.	63021	0.19	2/23/2021	$458,000	$150.16	X	0.3606	1 / 2	Aluminum / Vinyl	Conventional	2008	3,050	Full	4 / 9	3 / 1
434	25S630664	402 Winding Oaks Ct.	63021	0.85	1/4/2021	$459,000	$149.31	X	0.2800	1 / 2	Masonry and Frame	Conventional	1990	3,074	Full	4 / 8	2 / 1
435	24S340845	408 Mark Wesley Ln.	63021	0.49	2/24/2023	$460,000	$186.46	X	0.2334	1 / 2	Masonry and Frame	Conventional	1993	2,467	Full	4 / 10	2 / 2
436	24S641003	423 Valley Manor Dr.	63021	0.07	7/20/2022	$460,000	$184.29	X	0.2369	1 / 2	Aluminum / Vinyl	Conventional	2000	2,496	Full	4 / 8	2 / 1
437	23S230680	265 New Ballwin Rd.	63021	0.83	7/19/2021	$462,000	$196.84	X	0.6700	1 / 1	Brick	Ranch	1964	2,347	Full	3 / 6	2 / 0
438	24R121081	259 Arbor Trails Dr.	63021	0.79	7/22/2021	$464,900	$181.74	X	0.2582	1 / 2	Aluminum / Vinyl	Conventional	2002	2,558	Full	4 / 9	3 / 1
439	24S310442	540 Oak Leaf Manor Ct.	63021	0.75	3/7/2022	$465,000	$186.00	X	0.2500	1 / 2	Masonry and Frame	Conventional	1990	2,500	Full	4 / 9	2 / 1
440	24S511061	740 Trago Creek Dr.	63021	0.81	9/12/2022	$467,500	$249.86	X	0.2100	1 / 2	Masonry and Frame	Conventional	1991	1,871	Full	4 / 9	2 / 2
441	24S211189	702 Whispering Forest Dr.	63021	0.94	4/8/2022	$471,000	$181.64	X	0.2057	1 / 2	Masonry and Frame	Colonial	1998	2,593	Full	4 / 8	2 / 1
442	25S641093	682 Charleston Oaks Dr.	63021	0.85	8/17/2021	$474,900	$177.99	3	0.2028	1 / 2	Aluminum / Vinyl	Conventional	1994	2,668	Full	4 / 9	2 / 2
443	24S320331	609 Charleston Oaks Dr.	63021	0.72	4/4/2022	$475,000	$193.56	X	0.3000	1 / 2	Masonry and Frame	Conventional	1996	2,454	Full	4 / 9	2 / 1
444	24S641070	402 Remington Place Dr.	63021	0.14	3/18/2021	$478,000	$123.06	X	0.3214	1 / 2	Aluminum / Vinyl	Conventional	1999	3,884	Full	4 / 8	3 / 1
